X,Y,fid,Codificaci,Estado/Est,Municipio/,Entidad/No,Estatus,Coordenada,Coordena_1,Huso Inici,Coordena_2,Coordena_3,Huso Final,Nombre del,Categoría,Subcategor,Monto del,Monto Proy,Meta Unid,Monto May,Monto Men,Tipificad,Nivel_Inte,Tipificaci,Materiales,Evaluació,Meta Unida,Tipificado,Meta_Unida,Monto_Mayo,Monto_Meno,layer,path,icon_url
-72.4451877305048,7.90196333520416,"1",PI-2022-C-8-E-226-00037770,Táchira,Pedro María Ureña,ALCALDÍA DE PEDRO MARÍA UREÑA (EDO. TÁCHIRA),Aprobado,"782163","870442","18","783065","876963","18","MANTENIMIENTO Y MEJORAMIENTO DE LA VIALIDAD DESDE EL ARCO DE TIENDITAS HASTA, LA VÍA COLON CON CALLE 7 DEL MUNICIPIO PEDRO MARÍA UREÑA ESTADO TÁCHIRA.",Vialidad,Sistemas de Vías de Acceso (calles y avenidas),"167670",167670,,90,40,Rehabilitación,Simple,Bacheo,"Asfalto
",Subestimado,,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./0.png
-72.1822065123944,7.85614933847988,"2",PI-2022-C-6-E-15-00037507,Táchira,Andrés Bello,ALCALDÍA DE ANDRÉS BELLO (EDO. TÁCHIRA),Aprobado,"810534","869193","18","811216","869665","18","REHABILITACION DE LA CAPA ASFALTICA DE LA AVENIDA BOLIVAR DE CORDERO, MUNICIPIO ANDRES BELLO DEL ESTADO TACHIRA",Vialidad,Sistemas de Vías de Acceso (calles y avenidas),"71854,59",71854.59,,209.78,144,Rehabilitación,Integral,Bacheo,"Asfalto
",Subestimado,,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./0.png
-72.1786783857156,7.85682824725113,"3",PI-2022-C-6-E-15-00037503,Táchira,Andrés Bello,ALCALDÍA DE ANDRÉS BELLO (EDO. TÁCHIRA),Aprobado,"810491","869156","18","811879","869627","18",REHABILITACION DE LA CAPA ASFALTICA DE LA CALLE PRINCIPAL DE CORDERO MUNICIPIO ANDRES BELLO DEL ESTADO TACHIRA,Vialidad,Sistemas de Vías de Acceso (calles y avenidas),"82915,25",82915.25,,209.78,144,Rehabilitación,Integral,Bacheo,"Asfalto
",Subestimado,,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./0.png
-72.1849722907314,7.82125121171535,"4",PI-2022-C-4-E-68-00036955,Táchira,Cárdenas,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Culminado,"810478","865542","18","810459","865609","18","CONSTRUCCIÓN DE PAVIMENTO RÍGIDO EN LA CALLE PRINCIPAL DE LA ESCUELA NACIONAL PEDRO LEÓN ZAPATA, SECTOR CAPACHITO PARTE ALTA, MUNICIPIO CÁRDENAS, ESTADO TACHIRA",Vialidad,Sistemas de Vías de Acceso (calles y avenidas),"19882,2",19882.2,,400,230,Rehabilitación,Simple,Mejoramiento Vial,"Concreto
",Subestimado,,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./0.png
-72.2088171498859,7.81999445034533,"5",PI-2022-C-4-E-68-00036948,Táchira,Cárdenas,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Culminado,"807562","865741","18","807765","865845","18","CONSTRUCCIÓN DE 6 PAÑOS DE CONCRETO EN CUESTA LA MOLINA, MUNICIPIO CÁRDENAS, ESTADO TACHIRA",Vialidad,Sistemas de Vías de Acceso (calles y avenidas),"15885,3",15885.3,,400,230,Rehabilitación,Simple,Vialidad nueva,"Concreto
",Subestimado,,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./0.png
-72.2235580269082,7.82007031436552,"6",PI-2022-C-4-E-68-00036944,Táchira,Cárdenas,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Culminado,"806412","865007","18","806009","865826","18","BACHEO EN CALLE 7  DE TARIBA DESDE AVENIDA 1 HASTA BARRIO ZULIA, MUNICIPIO CÁRDENAS , ESTADO TACHIRA",Vialidad,Sistemas de Vías de Acceso (calles y avenidas),"29999,8",29999.8,,90,40,Rehabilitación,Simple,Bacheo,"Asfalto
",Subestimado,,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./0.png
-72.2200595213021,7.8264126546262,"7",PI-2022-C-4-E-68-00036941,Táchira,Cárdenas,ALCALDÍA DE CÁRDENAS (EDO. TÁCHIRA),Culminado,"806875","865773","18","806309","866469","18","BACHEO EN CALLE 14 DESDE ALDEA UNIVERSITARIA HASTA LA CARRERA 16, MUNICIPIO CÁRDENAS, ESTADO TACHIRA",Vialidad,Sistemas de Vías de Acceso (calles y avenidas),"29985,7",29985.7,,90,40,Rehabilitación,Simple,Bacheo,"Asfalto
",Subestimado,,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./0.png
-72.2474022086946,8.20206467624974,"8",PI-2022-C-4-E-112-00036937,Táchira,García De Hevia,ALCALDÍA DE GARCÍA DE HEVIA (EDO. TÁCHIRA),Aprobado,"803306","907778","18","803285","907575","18","REHABILITACION Y EMBELLECIMIENTO CON ASFALTADO EN LA TRONCAL 001 DESDE LA CRUZ DE LA MISION HASTA LA CALLE 04 DEL SECTOR LOS CEDROS, LA FRIA MUNICIPIO GARCIA DE HEVIA, LA FRIA ESTADO TACHIRA",Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)","333227,4",333227.4,,150,70,Rehabilitación,Integral,Mejoramiento Vial,"Asfalto
","Sobrestimado
",,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./1.png
-72.2552198155616,7.84799829130236,"9",PI-2022-C-4-E-357-00036772,Táchira,Guásimos,GOBERNACIÓN DE TÁCHIRA,Aprobado,"802521","870192","18","803415","867068","18","REHABILITACIÓN DE CARPETA ASFÁLTICA DESDE LA FABRICA NACIONAL DE CEMENTOS HACIA COPA DE ORO, PARROQUIA CAPITAL, MUNICIPIO GUASIMOS ESTADO TÁCHIRA 
",Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)","1335848,99",1335848.99,,150,70,Rehabilitación,Simple,Mejoramiento Vial,"Asfalto
","Sobrestimado
",,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./2.png
-72.4386001773513,7.82428448149273,"10",PI-2022-C-3-E-52-00036578,Táchira,Bolívar,ALCALDÍA DE BOLÍVAR (EDO. TÁCHIRA),Culminado,"783218","862277","18","781982","869360","18","Bacheo de la Capa Asfaltica de la vía principal de San Antonio del Tachira desde la Alcabala de Peracal hasta Palotal, del Municipio Bolívar del estado Tachira",Vialidad,"Sistema Vial Nacional (troncal, local, ramal y sub-ramal)","39441,37",39441.37,,90,40,Rehabilitación,Simple,Bacheo,"Asfalto
","Sobrestimado
",,,,,,Centroides 18,/home/josedaniel/José Daniel/Proyecto de vialidad/WebMap/ShapeFile/Vialidad/Centroides 18.shp,./0.png
